"Pallet# -Box #","Electrode #",P/N,"Electrode length (M)","Electrode area (M2)","Electrode thickness center (um)","Roll Diameter (mm)"
10-1,2E2F-150-08032020-6,150-3B,1,0.25,0,0
10-1,2E2F-150-08032020-6,P150B03B,1,0.25,0,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,0,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,0,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
20-16,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,0
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,410
10-1,2E2F-150-08032020-6,150-3B,1,0.25,1,410
10--1,2E2F-150-08032020-6,150-3B,1,0.25,1,410
10--1,2E2F-150-08032020-6,150-3B,1,0.25,1,410
10--1,2E2F-150-08032020-6,150-3B,1,0.25,1,410
10--1,2E2F-150-08032020-6,150-3B,1,0.25,1,410
